"codigo_funcionario";"email_funcionario";"codigo_beneficio";"codigo_empresa";"tipo_beneficio";"valor_beneficio"
541;"";2;2;"2";"802"
542;"";1;3;"1";"915"
543;"";2;6;"2";"504"
544;"";1;4;"1";"649"
545;"";2;1;"2";"613"
546;"";2;1;"2";"984"
547;"";1;3;"1";"886"
548;"";2;5;"2";"967"
549;"";1;5;"1";"507"
550;"";1;3;"1";"727"
551;"";1;1;"1";"730"
552;"";2;6;"2";"667"
553;"";2;8;"2";"510"
554;"";1;1;"1";"761"
555;"";1;6;"1";"781"
556;"";2;2;"2";"593"
557;"";1;5;"1";"1006"
558;"";1;4;"1";"787"
559;"";2;6;"2";"812"
560;"";1;8;"1";"760"
561;"";1;5;"1";"564"
562;"";2;7;"2";"562"
563;"";1;8;"1";"652"
564;"";2;7;"2";"619"
565;"";2;7;"2";"1009"
566;"";2;1;"2";"902"
567;"";1;8;"1";"654"
568;"";1;1;"1";"551"
569;"";1;6;"1";"1012"
570;"";2;2;"2";"585"
571;"";1;6;"1";"594"
572;"";2;6;"2";"544"
573;"";2;6;"2";"556"
574;"";1;2;"1";"792"
575;"";1;2;"1";"650"
576;"";2;3;"2";"735"
577;"";2;6;"2";"686"
578;"";1;6;"1";"525"
579;"";1;2;"1";"702"
580;"";1;1;"1";"969"
581;"";2;3;"2";"634"
582;"";2;3;"2";"719"
583;"";2;5;"2";"1042"
584;"";1;5;"1";"770"
585;"";2;6;"2";"784"
586;"";1;8;"1";"657"
587;"";1;4;"1";"778"
588;"";2;2;"2";"833"
589;"";1;8;"1";"1045"
590;"";2;4;"2";"965"
591;"";1;6;"1";"746"
592;"";1;1;"1";"776"
593;"";1;2;"1";"922"
594;"";2;7;"2";"804"
595;"";1;3;"1";"543"
596;"";2;6;"2";"622"
597;"";2;5;"2";"680"
598;"";2;6;"2";"535"
599;"";1;8;"1";"942"
600;"";1;6;"1";"942"
601;"";2;2;"2";"616"
602;"";1;1;"1";"932"
603;"";2;3;"2";"982"
604;"";2;1;"2";"664"
605;"";1;3;"1";"837"
606;"";2;8;"2";"861"
607;"";2;7;"2";"679"
608;"";1;7;"1";"827"
609;"";1;1;"1";"1033"
610;"";1;8;"1";"572"
611;"";2;3;"2";"821"
612;"";1;7;"1";"771"
613;"";1;1;"1";"593"
614;"";2;6;"2";"744"
615;"";2;6;"2";"651"
616;"";2;6;"2";"986"
617;"";2;6;"2";"607"
618;"";2;6;"2";"933"
619;"";2;8;"2";"577"
620;"";2;1;"2";"706"
621;"";2;4;"2";"674"
622;"";1;1;"1";"869"
623;"";1;7;"1";"791"
624;"";2;5;"2";"1025"
625;"";2;8;"2";"562"
626;"";2;7;"2";"746"
627;"";2;5;"2";"502"
628;"";1;7;"1";"886"
629;"";1;4;"1";"690"
630;"";2;2;"2";"811"
631;"";2;4;"2";"710"
632;"";2;3;"2";"516"
633;"";2;4;"2";"935"
634;"";2;8;"2";"1041"
635;"";2;8;"2";"881"
636;"";2;4;"2";"902"
637;"";1;4;"1";"1050"
638;"";2;6;"2";"638"
639;"";2;3;"2";"955"
640;"";1;2;"1";"502"
641;"";2;7;"2";"885"
642;"";1;4;"1";"712"
643;"";2;7;"2";"657"
644;"";1;8;"1";"502"
645;"";2;8;"2";"714"
646;"";2;4;"2";"1043"
647;"";2;7;"2";"512"
648;"";1;1;"1";"906"
649;"";1;1;"1";"616"
650;"";2;6;"2";"568"
651;"";1;1;"1";"833"
652;"";2;8;"2";"1003"
653;"";1;4;"1";"584"
654;"";2;6;"2";"901"
655;"";1;5;"1";"1001"
656;"";2;4;"2";"816"
657;"";2;6;"2";"640"
658;"";2;1;"2";"1005"
659;"";1;7;"1";"627"
660;"";2;3;"2";"613"
661;"";1;8;"1";"626"
662;"";1;1;"1";"521"
663;"";2;7;"2";"990"
664;"";2;5;"2";"718"
665;"";1;6;"1";"697"
666;"";1;5;"1";"668"
667;"";1;8;"1";"880"
668;"";1;4;"1";"1028"
669;"";2;7;"2";"989"
670;"";1;1;"1";"710"
671;"";2;3;"2";"600"
672;"";2;1;"2";"891"
673;"";2;3;"2";"636"
674;"";2;8;"2";"1000"
675;"";2;2;"2";"1021"
676;"";1;2;"1";"928"
677;"";1;3;"1";"711"
678;"";1;1;"1";"633"
679;"";2;5;"2";"898"
680;"";1;7;"1";"878"
681;"";2;3;"2";"834"
682;"";2;5;"2";"986"
683;"";1;4;"1";"756"
684;"";2;3;"2";"804"
685;"";2;7;"2";"538"
686;"";2;5;"2";"643"
687;"";2;6;"2";"528"
688;"";2;4;"2";"721"
689;"";2;5;"2";"652"
690;"";2;6;"2";"591"
691;"";2;6;"2";"703"
692;"";1;7;"1";"568"
693;"";1;7;"1";"644"
694;"";1;4;"1";"1003"
695;"";2;3;"2";"538"
696;"";2;5;"2";"690"
697;"";1;8;"1";"723"
698;"";1;8;"1";"752"
699;"";1;1;"1";"974"
700;"";2;4;"2";"1028"
701;"";2;1;"2";"792"
702;"";2;2;"2";"719"
703;"";1;3;"1";"893"
704;"";2;4;"2";"647"
705;"";1;3;"1";"801"
706;"";2;2;"2";"536"
707;"";2;8;"2";"917"
708;"";1;3;"1";"693"
709;"";2;1;"2";"586"
710;"";2;1;"2";"912"
711;"";1;2;"1";"926"
712;"";2;4;"2";"1035"
713;"";1;8;"1";"699"
714;"";2;8;"2";"859"
715;"";1;3;"1";"893"
716;"";2;6;"2";"918"
717;"";1;8;"1";"913"
718;"";1;4;"1";"647"
719;"";2;2;"2";"781"
720;"";2;1;"2";"823"
721;"";2;8;"2";"916"
722;"";2;6;"2";"1040"
723;"";1;4;"1";"879"
724;"";2;3;"2";"645"
725;"";2;3;"2";"848"
726;"";2;1;"2";"695"
727;"";2;1;"2";"734"
728;"";2;7;"2";"574"
729;"";1;1;"1";"655"
730;"";2;4;"2";"579"
731;"";2;7;"2";"918"
732;"";1;6;"1";"558"
733;"";2;1;"2";"501"
734;"";2;5;"2";"979"
735;"";2;7;"2";"913"
736;"";1;7;"1";"608"
737;"";2;5;"2";"752"
738;"";1;7;"1";"770"
739;"";2;1;"2";"771"
740;"";2;4;"2";"1001"
741;"";1;5;"1";"651"
742;"";1;4;"1";"768"
743;"";2;3;"2";"809"
744;"";1;4;"1";"982"
745;"";1;1;"1";"800"
746;"";2;1;"2";"570"
747;"";1;8;"1";"912"
748;"";1;4;"1";"884"
749;"";2;2;"2";"617"
750;"";1;1;"1";"916"
751;"";1;5;"1";"702"
752;"";2;6;"2";"676"
753;"";1;4;"1";"973"
754;"";2;5;"2";"820"
755;"";2;4;"2";"1032"
756;"";2;6;"2";"761"
757;"";1;8;"1";"531"
758;"";1;1;"1";"518"
759;"";1;5;"1";"904"
760;"";1;2;"1";"813"
761;"";2;1;"2";"549"
762;"";2;6;"2";"1001"
763;"";2;1;"2";"745"
764;"";2;3;"2";"595"
765;"";2;3;"2";"842"
766;"";1;2;"1";"735"
767;"";2;4;"2";"835"
768;"";1;2;"1";"567"
769;"";1;1;"1";"837"
770;"";1;6;"1";"1049"
771;"";1;8;"1";"661"
772;"";1;3;"1";"698"
773;"";1;8;"1";"571"
774;"";1;5;"1";"811"
775;"";1;4;"1";"649"
776;"";2;5;"2";"552"
777;"";2;7;"2";"658"
778;"";1;3;"1";"740"
779;"";2;5;"2";"888"
780;"";1;8;"1";"687"
781;"";2;5;"2";"742"
782;"";1;3;"1";"1004"
783;"";1;5;"1";"607"
784;"";1;1;"1";"847"
785;"";2;6;"2";"729"
786;"";2;5;"2";"642"
787;"";2;6;"2";"798"
788;"";1;1;"1";"520"
789;"";1;5;"1";"843"
790;"";2;5;"2";"860"
791;"";2;1;"2";"1041"
792;"";2;5;"2";"981"
793;"";1;2;"1";"729"
794;"";2;3;"2";"1017"
795;"";2;5;"2";"974"
796;"";1;7;"1";"929"
797;"";2;8;"2";"717"
798;"";2;7;"2";"547"
799;"";1;7;"1";"993"
800;"";2;3;"2";"555"
801;"";1;6;"1";"713"
802;"";2;4;"2";"929"
803;"";2;5;"2";"712"
804;"";1;6;"1";"621"
805;"";1;5;"1";"599"
806;"";1;2;"1";"1035"
807;"";2;1;"2";"832"
808;"";1;5;"1";"721"
809;"";1;2;"1";"705"
810;"";1;8;"1";"512"
811;"";1;5;"1";"1020"
812;"";2;5;"2";"685"
813;"";1;1;"1";"899"
814;"";2;3;"2";"879"
815;"";2;5;"2";"969"
816;"";2;8;"2";"832"
817;"";1;8;"1";"995"
818;"";1;6;"1";"611"
819;"";2;8;"2";"512"
820;"";1;2;"1";"745"
821;"";2;5;"2";"543"
822;"";1;7;"1";"586"
823;"";2;3;"2";"572"
824;"";2;4;"2";"518"
825;"";1;7;"1";"1032"
826;"";2;5;"2";"898"
827;"";1;3;"1";"1034"
828;"";1;2;"1";"778"
829;"";1;6;"1";"940"
830;"";1;6;"1";"795"
831;"";1;6;"1";"771"
832;"";2;1;"2";"761"
833;"";2;7;"2";"897"
834;"";1;5;"1";"575"
835;"";2;5;"2";"972"
836;"";1;1;"1";"918"
837;"";2;3;"2";"693"
838;"";1;3;"1";"814"
839;"";1;3;"1";"662"
840;"";2;1;"2";"602"
841;"";2;3;"2";"975"
842;"";2;4;"2";"532"
843;"";2;3;"2";"503"
844;"";1;6;"1";"969"
845;"";2;7;"2";"632"
846;"";2;8;"2";"980"
847;"";2;7;"2";"816"
848;"";1;5;"1";"739"
849;"";2;8;"2";"509"
850;"";1;6;"1";"804"
851;"";1;8;"1";"653"
852;"";2;7;"2";"537"
853;"";1;3;"1";"752"
