"id_cliente";"cpf_cliente";"nome_cliente";"email_cliente";"telefone_cliente"
24;"281.407.695-76";"Rafaela Silveira";"(071) 2992-7194";"da-costaisabelly@example.org"
25;"326.709.584-00";"Letícia Machado";"+55 (051) 9673 4105";"svargas@example.org"
26;"543.209.618-89";"Ágatha Cunha";"(011) 2858-3505";"vinicius77@example.org"
27;"521.098.347-14";"Melina Novaes";"(061) 3138-9671";"nmacedo@example.com"
28;"301.982.574-14";"Sr. Felipe Silveira";"71 2525-1316";"jmonteiro@example.net"
29;"140.925.368-60";"Srta. Maria Isis Câmara";"31 8523-8425";"ayla18@example.org"
30;"586.430.197-39";"Nicolas da Paz";"+55 11 3856 4139";"leandro16@example.net"
31;"215.934.867-82";"Marina Pastor";"84 2006-5416";"aaragao@example.com"
32;"132.089.547-60";"Augusto Santos";"81 8365-0257";"sagabriel@example.com"
33;"872.506.914-49";"Luiz Felipe Nogueira";"51 3725 0806";"vieiratheodoro@example.com"
34;"053.728.496-65";"Fernando Vieira";"0900 593 5563";"jaderodrigues@example.org"
35;"507.392.618-86";"Pietra Moura";"+55 31 6966-2008";"fariasluisa@example.net"
36;"698.302.174-69";"Nathan Nogueira";"+55 41 0075 1836";"carlos-eduardorios@example.org"
37;"329.076.541-52";"Oliver Brito";"(071) 6106 3951";"naparecida@example.org"
38;"723.048.516-90";"João Gabriel da Costa";"(031) 1585 6033";"sampaiocamila@example.net"
39;"538.419.706-48";"Ana Vitória Borges";"84 3923 7824";"fonsecaemanuella@example.com"
40;"398.257.104-97";"Dra. Elisa Leão";"+55 41 8935 5506";"brunapires@example.net"
41;"159.640.278-49";"Mariane Melo";"(041) 7839 1172";"maria-luizacosta@example.net"
42;"369.728.501-77";"Calebe Moura";"(011) 6089 1860";"fernandocastro@example.net"
43;"801.974.326-03";"Breno Nunes";"84 4766 9824";"dommachado@example.org"
44;"983.576.401-84";"Eloá Sousa";"+55 61 1385-0017";"ericknovaes@example.net"
45;"027.156.389-30";"Maria Júlia Barros";"(061) 0924-1719";"manuela96@example.org"
46;"972.413.860-78";"João da Costa";"0500 611 7799";"anacampos@example.org"
47;"870.251.634-90";"Davi Luiz Sá";"+55 (061) 7975-8338";"tcorreia@example.org"
48;"824.530.196-51";"Dr. Theo Pereira";"0800 045 4026";"rebecalopes@example.com"
49;"132.069.784-40";"Vinícius Fonseca";"(031) 6644 0826";"luiz-otaviovargas@example.net"
50;"405.186.732-35";"Dr. Brayan Albuquerque";"+55 (031) 5166 3611";"maria-ceciliacorreia@example.com"
51;"479.260.831-78";"Maria Clara da Rosa";"0300-570-0766";"paulovasconcelos@example.com"
52;"408.175.623-62";"Sr. Luiz Gustavo Viana";"+55 41 7286 2692";"kcirino@example.net"
53;"634.508.192-24";"Maria Flor Nogueira";"81 6547-7298";"vda-mata@example.org"
54;"938.516.402-33";"Liam Pires";"+55 21 1142-0855";"pedro-lucas04@example.org"
55;"192.768.430-78";"Erick Mendonça";"+55 (021) 7566-6460";"emanuelly52@example.org"
56;"105.648.937-57";"Eloá Abreu";"(021) 8686-3659";"borgesbianca@example.org"
57;"042.657.318-80";"Maysa Campos";"(011) 2011-4689";"correialaura@example.net"
58;"602.579.831-12";"Samuel Moura";"+55 (021) 9988-9502";"lunamoraes@example.com"
59;"095.263.718-95";"João Pedro da Luz";"+55 81 0129-0184";"sabrina17@example.com"
60;"709.312.658-86";"Agatha Sales";"(041) 9978 6036";"theo64@example.net"
61;"437.162.905-99";"Anthony Gabriel Dias";"+55 41 6374-9929";"benjaminpimenta@example.com"
62;"218.945.073-04";"Dra. Ana Andrade";"11 8384-5182";"fariasenzo@example.net"
63;"851.490.267-94";"Srta. Elisa Lima";"+55 (011) 8759 7203";"yagoda-costa@example.org"
64;"036.192.875-03";"Ravi Sales";"+55 41 7829 7351";"fernando80@example.net"
65;"980.372.641-22";"Vinicius Macedo";"(011) 7063 3682";"ana-lauraaparecida@example.net"
66;"132.675.480-71";"Anna Liz Nascimento";"+55 (051) 4932 9106";"araujomaria@example.org"
67;"861.574.932-91";"Isabelly Cassiano";"0800-068-5077";"natalia05@example.net"
68;"019.723.846-78";"Vitor Nunes";"+55 (071) 6138 4423";"maria-vitoria75@example.com"
69;"925.163.487-46";"Isabel Novais";"(084) 3026 8952";"maria-luiza75@example.com"
70;"301.865.924-42";"Erick Albuquerque";"+55 (084) 0528 2446";"gabrielnovais@example.org"
71;"781.039.654-48";"Gabriel Peixoto";"0300 915 6930";"rezendeotto@example.net"
72;"174.809.263-40";"Augusto Oliveira";"0300 165 2507";"framos@example.org"
73;"270.138.946-13";"Raul Moreira";"(051) 5911-2842";"rmendes@example.org"
74;"320.845.679-47";"Davi Garcia";"71 5663-6029";"ebarbosa@example.org"
75;"610.439.528-70";"Emanuelly Mendes";"31 7142 7124";"osouza@example.org"
76;"485.106.237-08";"Lívia Farias";"+55 (011) 5544 0450";"ana-livia20@example.com"
77;"794.106.258-58";"Luiza Mendonça";"(011) 4709-6230";"isaqueda-luz@example.com"
78;"539.720.864-74";"Sr. Ryan das Neves";"+55 41 9730-2682";"kfernandes@example.net"
79;"283.179.046-87";"Luiz Miguel Viana";"0900-630-1944";"ffogaca@example.org"
80;"324.607.859-92";"Heitor Costela";"+55 (011) 1216-9300";"ana-sophiacavalcanti@example.net"
81;"430.672.591-06";"Isaque da Rosa";"(071) 8549-1465";"stellabarros@example.org"
82;"412.738.695-91";"Lorenzo Aragão";"61 3599 8157";"cunhaana-cecilia@example.net"
83;"248.195.367-37";"Cecilia Santos";"+55 (011) 4682-9672";"caroline38@example.net"
84;"260.714.359-43";"Srta. Ana Carolina Marques";"+55 51 9865 2784";"lalves@example.org"
85;"728.950.413-50";"Isis Aparecida";"+55 51 4163 4500";"pedro-henriqueda-mota@example.net"
86;"716.389.504-66";"Sr. Theodoro Pereira";"21 0234-5675";"josue00@example.net"
87;"208.946.531-05";"Yago Farias";"31 6995 8524";"daniel37@example.net"
88;"378.495.260-74";"Felipe Cunha";"0500-730-0705";"apolloda-cruz@example.org"
89;"953.687.042-83";"Benicio Pimenta";"41 0644-5011";"pastormaria-sophia@example.com"
90;"967.438.025-65";"Raul Pires";"(011) 4479-5542";"icaldeira@example.net"
91;"453.270.681-53";"Luna Azevedo";"+55 21 1529 1099";"bruna04@example.net"
92;"029.431.578-05";"Davi Freitas";"84 1587 3126";"vitor-gabrielborges@example.org"
93;"195.083.276-77";"Pedro Correia";"+55 84 1898 5542";"vieirafrancisco@example.org"
94;"412.380.695-33";"Isadora Andrade";"41 6327 0954";"caio47@example.net"
95;"734.619.082-31";"Maria Sophia da Conceição";"+55 41 5154-8746";"mathias73@example.org"
96;"491.568.027-49";"Mariana Costela";"+55 71 4575 6194";"theo96@example.com"
97;"417.608.925-30";"Rael Borges";"+55 84 1753 8797";"alicia34@example.org"
98;"085.629.431-42";"Daniela Rodrigues";"0500-900-1383";"aparecidamariane@example.org"
99;"764.103.825-53";"Antônio Abreu";"41 1518-2857";"rafaelapires@example.org"
100;"065.249.371-80";"Evelyn Melo";"41 6863 1421";"claradias@example.net"
