"codigo_funcionario","email_funcionario","codigo_empresa","valor_beneficio"
"217","","6","734"
"218","","4","721"
"219","","8","908"
"220","","1","853"
"221","","8","619"
"222","","4","864"
"223","","8","949"
"224","","2","669"
"225","","7","690"
"226","","6","753"
"227","","7","926"
"228","","2","1030"
"229","","3","705"
"230","","8","668"
"231","","2","1041"
"232","","4","600"
"233","","8","770"
"234","","1","987"
"235","","7","737"
"236","","8","759"
"237","","4","1018"
"238","","4","835"
"239","","4","745"
"240","","1","783"
"241","","6","557"
"242","","5","615"
"243","","7","576"
"244","","1","545"
"245","","1","788"
"246","","8","514"
"247","","2","759"
"248","","6","928"
"249","","4","607"
"250","","5","863"
"251","","4","690"
"252","","7","619"
"253","","5","541"
"254","","3","746"
"255","","7","535"
"256","","4","504"
"257","","4","773"
"258","","1","742"
"259","","6","980"
"260","","7","563"
"261","","4","675"
"262","","7","686"
"263","","4","728"
"264","","1","787"
"265","","2","759"
"266","","3","710"
"267","","5","574"
"268","","3","1013"
"269","","5","798"
"270","","4","958"
"271","","4","583"
"272","","6","752"
"273","","7","918"
"274","","2","984"
"275","","1","657"
"276","","1","962"
"277","","8","1041"
"278","","7","905"
"279","","1","832"
"280","","6","534"
"281","","2","759"
"282","","3","690"
"283","","7","1036"
"284","","4","634"
"285","","3","593"
"286","","5","501"
"287","","4","579"
"288","","6","709"
"289","","2","571"
"290","","4","692"
"291","","3","1050"
"292","","6","942"
"293","","5","694"
"294","","4","672"
"295","","7","539"
"296","","3","841"
"297","","3","959"
"298","","5","1034"
"299","","3","804"
"300","","5","783"
"301","","8","721"
"302","","3","769"
"303","","7","868"
"304","","2","977"
"305","","6","502"
"306","","2","729"
"307","","4","517"
"308","","3","667"
"309","","2","777"
"310","","7","601"
"311","","5","764"
"312","","1","1011"
"313","","6","769"
"314","","2","760"
"315","","7","827"
"316","","5","673"
"317","","2","810"
"318","","1","906"
"319","","4","583"
"320","","1","1000"
"321","","7","573"
"322","","3","657"
"323","","1","649"
"324","","3","711"
"325","","4","587"
"326","","5","797"
"327","","8","596"
"328","","7","747"
"329","","5","740"
"330","","3","748"
"331","","1","819"
"332","","4","914"
"333","","4","566"
"334","","7","840"
"335","","2","881"
"336","","8","857"
"337","","5","848"
"338","","4","796"
"339","","7","888"
"340","","2","801"
"341","","6","798"
"342","","6","809"
"343","","8","984"
"344","","8","1048"
"345","","4","754"
"346","","5","682"
"347","","3","801"
"348","","1","595"
"349","","3","924"
"350","","7","626"
"351","","8","641"
"352","","2","599"
"353","","7","642"
"354","","1","694"
"355","","8","665"
"356","","1","812"
"357","","3","553"
"358","","2","844"
"359","","7","596"
"360","","4","737"
"361","","8","990"
"362","","7","635"
"363","","7","831"
"364","","3","934"
"365","","5","905"
"366","","3","806"
"367","","2","546"
"368","","2","983"
"369","","8","579"
"370","","1","508"
"371","","2","581"
"372","","5","749"
"373","","4","689"
"374","","5","520"
"375","","8","1037"
"376","","4","520"
"377","","2","907"
"378","","8","623"
"379","","7","613"
"380","","4","520"
"381","","4","837"
"382","","5","745"
"383","","1","903"
"384","","7","958"
"385","","1","827"
"386","","8","561"
"387","","4","915"
"388","","7","997"
"389","","6","510"
"390","","3","996"
"391","","5","845"
"392","","7","742"
"393","","8","912"
"394","","1","1004"
"395","","4","543"
"396","","4","991"
"397","","7","730"
"398","","1","1000"
"399","","2","964"
"400","","2","980"
"401","","8","1035"
"402","","4","822"
"403","","6","606"
"404","","8","836"
"405","","4","929"
"406","","3","967"
"407","","6","860"
"408","","3","615"
"409","","7","907"
"410","","5","693"
"411","","3","808"
"412","","7","799"
"413","","5","784"
"414","","5","692"
"415","","8","771"
"416","","5","529"
"417","","6","570"
"418","","6","694"
"419","","7","891"
"420","","8","804"
"421","","1","776"
"422","","8","1042"
"423","","6","806"
"424","","4","1012"
"425","","4","839"
"426","","3","884"
"427","","3","799"
"428","","4","621"
"429","","5","1037"
"430","","5","1027"
"431","","4","606"
"432","","6","860"
"433","","4","529"
"434","","8","833"
"435","","1","872"
"436","","3","751"
"437","","3","506"
"438","","8","711"
"439","","3","526"
"440","","3","693"
"441","","5","713"
"442","","3","974"
"443","","6","900"
"444","","5","628"
"445","","5","983"
"446","","5","698"
"447","","6","769"
"448","","3","789"
"449","","6","755"
"450","","3","936"
"451","","4","982"
"452","","1","997"
"453","","1","888"
"454","","4","560"
"455","","3","677"
"456","","2","622"
"457","","2","904"
"458","","5","567"
"459","","7","790"
"460","","6","968"
"461","","4","724"
"462","","7","938"
"463","","8","940"
"464","","4","929"
"465","","1","728"
"466","","4","918"
"467","","3","748"
"468","","7","868"
"469","","4","1011"
"470","","6","759"
"471","","3","521"
"472","","4","640"
"473","","8","989"
"474","","2","861"
"475","","8","555"
"476","","1","912"
"477","","3","667"
"478","","5","950"
"479","","7","789"
"480","","7","982"
"481","","5","862"
"482","","5","1014"
"483","","8","820"
"484","","1","857"
"485","","6","990"
"486","","7","673"
"487","","5","827"
"488","","7","885"
"489","","3","784"
"490","","8","708"
"491","","2","986"
"492","","6","534"
"493","","5","836"
"494","","8","736"
"495","","2","1015"
"496","","5","875"
"497","","2","742"
"498","","4","671"
"499","","5","973"
"500","","8","677"
"501","","8","623"
"502","","7","594"
"503","","7","603"
"504","","7","791"
"505","","1","521"
"506","","5","986"
"507","","2","769"
"508","","8","710"
"509","","5","722"
"510","","4","847"
"511","","8","906"
"512","","2","688"
"513","","4","602"
"514","","1","871"
"515","","7","614"
"516","","2","784"
"517","","1","714"
"518","","5","916"
"519","","7","608"
"520","","1","652"
"521","","4","925"
"522","","5","727"
"523","","1","1028"
"524","","4","766"
"525","","5","577"
"526","","1","558"
"527","","4","826"
"528","","7","742"
"529","","4","988"
"530","","7","805"
"531","","4","1041"
"532","","6","607"
"533","","7","983"
"534","","3","967"
"535","","1","851"
"536","","3","814"
"537","","5","778"
"538","","5","871"
"539","","5","696"
"540","","6","957"
"541","","2","802"
"542","","3","915"
"543","","6","504"
"544","","4","649"
"545","","1","613"
"546","","1","984"
"547","","3","886"
"548","","5","967"
"549","","5","507"
"550","","3","727"
"551","","1","730"
"552","","6","667"
"553","","8","510"
"554","","1","761"
"555","","6","781"
"556","","2","593"
"557","","5","1006"
"558","","4","787"
"559","","6","812"
"560","","8","760"
"561","","5","564"
"562","","7","562"
"563","","8","652"
"564","","7","619"
"565","","7","1009"
"566","","1","902"
"567","","8","654"
"568","","1","551"
"569","","6","1012"
"570","","2","585"
"571","","6","594"
"572","","6","544"
"573","","6","556"
"574","","2","792"
"575","","2","650"
"576","","3","735"
"577","","6","686"
"578","","6","525"
"579","","2","702"
"580","","1","969"
"581","","3","634"
"582","","3","719"
"583","","5","1042"
"584","","5","770"
"585","","6","784"
"586","","8","657"
"587","","4","778"
"588","","2","833"
"589","","8","1045"
"590","","4","965"
"591","","6","746"
"592","","1","776"
"593","","2","922"
"594","","7","804"
"595","","3","543"
"596","","6","622"
"597","","5","680"
"598","","6","535"
"599","","8","942"
"600","","6","942"
"601","","2","616"
"602","","1","932"
"603","","3","982"
"604","","1","664"
"605","","3","837"
"606","","8","861"
"607","","7","679"
"608","","7","827"
"609","","1","1033"
"610","","8","572"
"611","","3","821"
"612","","7","771"
"613","","1","593"
"614","","6","744"
"615","","6","651"
"616","","6","986"
"617","","6","607"
"618","","6","933"
"619","","8","577"
"620","","1","706"
"621","","4","674"
"622","","1","869"
"623","","7","791"
"624","","5","1025"
"625","","8","562"
"626","","7","746"
"627","","5","502"
"628","","7","886"
"629","","4","690"
"630","","2","811"
"631","","4","710"
"632","","3","516"
"633","","4","935"
"634","","8","1041"
"635","","8","881"
"636","","4","902"
"637","","4","1050"
"638","","6","638"
"639","","3","955"
"640","","2","502"
"641","","7","885"
"642","","4","712"
"643","","7","657"
"644","","8","502"
"645","","8","714"
"646","","4","1043"
"647","","7","512"
"648","","1","906"
"649","","1","616"
"650","","6","568"
"651","","1","833"
"652","","8","1003"
"653","","4","584"
"654","","6","901"
"655","","5","1001"
"656","","4","816"
"657","","6","640"
"658","","1","1005"
"659","","7","627"
"660","","3","613"
"661","","8","626"
"662","","1","521"
"663","","7","990"
"664","","5","718"
"665","","6","697"
"666","","5","668"
"667","","8","880"
"668","","4","1028"
"669","","7","989"
"670","","1","710"
"671","","3","600"
"672","","1","891"
"673","","3","636"
"674","","8","1000"
"675","","2","1021"
"676","","2","928"
"677","","3","711"
"678","","1","633"
"679","","5","898"
"680","","7","878"
"681","","3","834"
"682","","5","986"
"683","","4","756"
"684","","3","804"
"685","","7","538"
"686","","5","643"
"687","","6","528"
"688","","4","721"
"689","","5","652"
"690","","6","591"
"691","","6","703"
"692","","7","568"
"693","","7","644"
"694","","4","1003"
"695","","3","538"
"696","","5","690"
"697","","8","723"
"698","","8","752"
"699","","1","974"
"700","","4","1028"
"701","","1","792"
"702","","2","719"
"703","","3","893"
"704","","4","647"
"705","","3","801"
"706","","2","536"
"707","","8","917"
"708","","3","693"
"709","","1","586"
"710","","1","912"
"711","","2","926"
"712","","4","1035"
"713","","8","699"
"714","","8","859"
"715","","3","893"
"716","","6","918"
"717","","8","913"
"718","","4","647"
"719","","2","781"
"720","","1","823"
"721","","8","916"
"722","","6","1040"
"723","","4","879"
"724","","3","645"
"725","","3","848"
"726","","1","695"
"727","","1","734"
"728","","7","574"
"729","","1","655"
"730","","4","579"
"731","","7","918"
"732","","6","558"
"733","","1","501"
"734","","5","979"
"735","","7","913"
"736","","7","608"
"737","","5","752"
"738","","7","770"
"739","","1","771"
"740","","4","1001"
"741","","5","651"
"742","","4","768"
"743","","3","809"
"744","","4","982"
"745","","1","800"
"746","","1","570"
"747","","8","912"
"748","","4","884"
"749","","2","617"
"750","","1","916"
"751","","5","702"
"752","","6","676"
"753","","4","973"
"754","","5","820"
"755","","4","1032"
"756","","6","761"
"757","","8","531"
"758","","1","518"
"759","","5","904"
"760","","2","813"
"761","","1","549"
"762","","6","1001"
"763","","1","745"
"764","","3","595"
"765","","3","842"
"766","","2","735"
"767","","4","835"
"768","","2","567"
"769","","1","837"
"770","","6","1049"
"771","","8","661"
"772","","3","698"
"773","","8","571"
"774","","5","811"
"775","","4","649"
"776","","5","552"
"777","","7","658"
"778","","3","740"
"779","","5","888"
"780","","8","687"
"781","","5","742"
"782","","3","1004"
"783","","5","607"
"784","","1","847"
"785","","6","729"
"786","","5","642"
"787","","6","798"
"788","","1","520"
"789","","5","843"
"790","","5","860"
"791","","1","1041"
"792","","5","981"
"793","","2","729"
"794","","3","1017"
"795","","5","974"
"796","","7","929"
"797","","8","717"
"798","","7","547"
"799","","7","993"
"800","","3","555"
"801","","6","713"
"802","","4","929"
"803","","5","712"
"804","","6","621"
"805","","5","599"
"806","","2","1035"
"807","","1","832"
"808","","5","721"
"809","","2","705"
"810","","8","512"
"811","","5","1020"
"812","","5","685"
"813","","1","899"
"814","","3","879"
"815","","5","969"
"816","","8","832"
"817","","8","995"
"818","","6","611"
"819","","8","512"
"820","","2","745"
"821","","5","543"
"822","","7","586"
"823","","3","572"
"824","","4","518"
"825","","7","1032"
"826","","5","898"
"827","","3","1034"
"828","","2","778"
"829","","6","940"
"830","","6","795"
"831","","6","771"
"832","","1","761"
"833","","7","897"
"834","","5","575"
"835","","5","972"
"836","","1","918"
"837","","3","693"
"838","","3","814"
"839","","3","662"
"840","","1","602"
"841","","3","975"
"842","","4","532"
"843","","3","503"
"844","","6","969"
"845","","7","632"
"846","","8","980"
"847","","7","816"
"848","","5","739"
"849","","8","509"
"850","","6","804"
"851","","8","653"
"852","","7","537"
"853","","3","752"
"854","","5","938"
"855","","6","665"
"856","","2","860"
"857","","7","769"
"858","","8","953"
"859","","4","893"
"860","","7","684"
"861","","6","917"
"862","","7","656"
"863","","1","515"
"864","","1","568"
"865","","8","527"
"866","","4","525"
"867","","8","881"
"868","","6","585"
"869","","6","707"
"870","","1","843"
"871","","8","743"
"872","","5","555"
"873","","7","639"
"874","","1","745"
"875","","4","878"
"876","","2","858"
"877","","2","1014"
"878","","3","550"
"879","","3","640"
"880","","5","1050"
"881","","3","1042"
"882","","1","928"
"883","","3","785"
"884","","8","563"
"885","","3","933"
"886","","3","873"
"887","","3","793"
"888","","6","1037"
"889","","8","512"
"890","","2","721"
"891","","8","841"
"892","","3","741"
"893","","8","655"
"894","","1","916"
"895","","7","720"
"896","","5","715"
"897","","2","942"
"898","","3","687"
"899","","5","746"
"900","","8","893"
"901","","8","781"
"902","","4","714"
"903","","4","975"
"904","","5","1014"
"905","","3","759"
"906","","3","926"
"907","","7","997"
"908","","2","843"
"909","","7","882"
"910","","7","791"
"911","","2","795"
"912","","2","717"
"913","","2","927"
"914","","7","857"
"915","","2","901"
"916","","7","616"
"917","","5","829"
"918","","1","528"
"919","","6","1006"
"920","","3","815"
"921","","8","824"
"922","","6","1001"
"923","","4","913"
"924","","1","765"
"925","","4","537"
"926","","3","820"
"927","","6","695"
"928","","4","749"
"929","","5","774"
"930","","5","638"
"931","","5","702"
"932","","7","762"
"933","","2","715"
"934","","4","1025"
"935","","3","790"
"936","","2","927"
"937","","2","1043"
"938","","4","784"
"939","","1","773"
"940","","5","774"
"941","","5","675"
"942","","2","850"
"943","","8","936"
"944","","5","606"
"945","","8","707"
"946","","7","586"
"947","","8","1030"
"948","","8","871"
"949","","7","834"
"950","","6","532"
"951","","5","696"
"952","","3","1030"
"953","","8","675"
"954","","6","671"
"955","","3","900"
"956","","6","816"
"957","","3","810"
"958","","8","775"
"959","","8","967"
"960","","1","645"
"961","","7","649"
"962","","6","596"
"963","","3","652"
"964","","6","950"
"965","","3","645"
"966","","4","791"
"967","","3","512"
"968","","7","763"
"969","","5","514"
"970","","6","795"
"971","","1","998"
"972","","4","735"
"973","","8","820"
"974","","7","894"
"975","","1","556"
"976","","5","526"
"977","","1","847"
"978","","6","1039"
"979","","6","599"
"980","","2","800"
"981","","5","754"
"982","","5","1023"
"983","","1","699"
"984","","6","691"
"985","","8","773"
"986","","7","995"
"987","","5","749"
"988","","5","677"
"989","","4","614"
"990","","7","528"
"991","","2","778"
"992","","6","892"
"993","","8","734"
"994","","7","565"
"995","","5","1020"
"996","","1","891"
"997","","3","893"
"998","","1","947"
"999","","7","823"
"1000","","2","786"
"1001","","7","788"
"1002","","2","731"
"1003","","8","767"
"1004","","3","507"
"1005","","8","1046"
"1006","","8","877"
"1007","","8","534"
"1008","","5","859"
"1009","","1","970"
"1010","","5","979"
"1011","","4","639"
"1012","","6","887"
"1013","","8","568"
"1014","","5","753"
"1015","","1","585"
"1016","","8","730"
"1017","","6","734"
"1018","","7","782"
"1019","","2","801"
"1020","","2","953"
"1021","","6","601"
"1022","","7","500"
"1023","","8","1020"
"1024","","1","535"
"1025","","8","558"
"1026","","8","638"
"1027","","4","1006"
"1028","","4","690"
"1029","","6","655"
"1030","","5","842"
"1031","","6","583"
"1032","","3","672"
"1033","","3","560"
"1034","","1","985"
"1035","","3","618"
"1036","","3","929"
"1037","","6","644"
"1038","","4","854"
"1039","","7","1040"
"1040","","3","839"
"1041","","5","784"
"1042","","8","735"
"1043","","6","917"
"1044","","1","951"
"1045","","8","696"
"1046","","1","502"
"1047","","4","604"
"1048","","8","604"
"1049","","6","806"
"1050","","8","534"
"1051","","1","695"
"1052","","4","685"
"1053","","8","980"
"1054","","3","1027"
"1055","","4","800"
"1056","","7","672"
"1057","","3","955"
"1058","","2","616"
"1059","","6","728"
"1060","","1","713"
"1061","","1","910"
"1062","","6","685"
"1063","","1","924"
"1064","","5","950"
"1065","","7","714"
"1066","","6","634"
"1067","","4","682"
"1068","","8","954"
"1069","","2","849"
"1070","","7","719"
"1071","","4","1000"
"1072","","7","913"
"1073","","1","826"
"1074","","8","933"
"1075","","5","1018"
"1076","","7","965"
"1077","","7","1007"
"1078","","6","589"
"1079","","4","500"
"1080","","4","750"
"1081","","7","982"
"1082","","6","594"
"1083","","2","612"
"1084","","8","593"
"1085","","3","941"
"1086","","4","789"
"1087","","2","1048"
"1088","","8","906"
"1089","","1","846"
"1090","","8","769"
"1091","","2","628"
"1092","","5","956"
"1093","","7","589"
"1094","","2","953"
"1095","","6","682"
"1096","","7","743"
"1097","","7","992"
"1098","","8","527"
"1099","","8","915"
"1100","","1","675"
"1101","","7","951"
"1102","","5","685"
"1103","","6","586"
"1104","","8","607"
"1105","","1","525"
"1106","","1","698"
"1107","","3","979"
"1108","","6","631"
"1109","","5","1009"
"1110","","3","985"
"1111","","4","904"
"1112","","7","589"
"1113","","6","507"
"1114","","1","966"
"1115","","5","777"
"1116","","6","552"
"1117","","1","897"
"1118","","1","731"
"1119","","1","852"
"1120","","4","969"
"1121","","3","684"
"1122","","1","969"
"1123","","1","750"
"1124","","8","894"
"1125","","1","886"
"1126","","6","668"
"1127","","4","633"
"1128","","5","847"
"1129","","8","940"
"1130","","8","599"
"1131","","3","930"
"1132","","4","736"
"1133","","8","638"
"1134","","5","591"
"1135","","1","541"
"1136","","1","803"
"1137","","4","851"
"1138","","4","601"
"1139","","7","898"
"1140","","7","942"
"1141","","6","549"
"1142","","5","500"
"1143","","5","748"
"1144","","3","795"
"1145","","3","953"
"1146","","2","1034"
"1147","","4","804"
"1148","","7","515"
"1149","","3","525"
"1150","","7","919"
"1151","","7","927"
"1152","","4","679"
"1153","","8","893"
"1154","","7","721"
"1155","","7","704"
"1156","","4","1050"
"1157","","1","879"
"1158","","3","724"
"1159","","5","733"
"1160","","7","884"
"1161","","3","1030"
"1162","","7","790"
"1163","","7","555"
"1164","","3","824"
"1165","","8","899"
"1166","","2","766"
"1167","","3","640"
"1168","","4","807"
"1169","","4","952"
"1170","","5","846"
"1171","","7","745"
"1172","","7","993"
"1173","","8","877"
"1174","","1","732"
"1175","","6","867"
"1176","","8","807"
"1177","","4","566"
"1178","","6","548"
"1179","","6","719"
"1180","","4","730"
"1181","","8","1033"
"1182","","7","599"
"1183","","2","914"
"1184","","3","603"
"1185","","2","548"
"1186","","3","912"
"1187","","8","594"
"1188","","4","883"
"1189","","7","572"
"1190","","4","623"
"1191","","8","762"
"1192","","7","610"
"1193","","1","901"
"1194","","4","846"
"1195","","5","910"
"1196","","8","565"
"1197","","6","806"
"1198","","5","826"
"1199","","4","1010"
"1200","","8","1041"
"1201","","3","886"
"1202","","7","1032"
"1203","","5","986"
"1204","","4","803"
"1205","","3","942"
"1206","","1","875"
"1207","","4","660"
"1208","","8","674"
"1209","","8","897"
"1210","","1","893"
"1211","","7","805"
"1212","","5","747"
"1213","","8","504"
"1214","","2","615"
"1215","","6","823"
"1216","","3","944"
"1217","","3","606"
"1218","","1","585"
"1219","","4","987"
"1220","","5","532"
"1221","","4","919"
"1222","","2","913"
"1223","","3","717"
"1224","","8","789"
"1225","","6","1027"
"1226","","6","777"
"1227","","5","527"
"1228","","8","818"
"1229","","1","888"
"1230","","2","755"
"1231","","3","606"
"1232","","1","952"
"1233","","8","947"
"1234","","8","833"
"1235","","4","566"
"1236","","6","821"
"1237","","7","898"
"1238","","8","834"
"1239","","8","983"
"1240","","1","647"
"1241","","6","758"
"1242","","3","844"
"1243","","5","758"
"1244","","8","812"
"1245","","1","928"
"1246","","7","893"
"1247","","3","697"
"1248","","7","890"
"1249","","7","543"
"1250","","4","639"
"1251","","6","840"
"1252","","5","506"
"1253","","8","866"
"1254","","1","560"
"1255","","8","920"
"1256","","1","980"
"1257","","1","562"
"1258","","8","640"
"1259","","3","534"
"1260","","5","649"
"1261","","7","614"
"1262","","7","755"
"1263","","7","862"
"1264","","8","769"
"1265","","7","522"
"1266","","2","632"
"1267","","5","709"
"1268","","8","721"
"1269","","6","770"
"1270","","8","576"
"1271","","5","819"
"1272","","2","793"
"1273","","6","862"
"1274","","7","986"
"1275","","8","795"
"1276","","5","736"
"1277","","4","998"
"1278","","6","503"
"1279","","4","923"
"1280","","1","534"
"1281","","5","973"
"1282","","4","863"
"1283","","6","833"
"1284","","6","959"
"1285","","4","790"
"1286","","8","605"
"1287","","1","736"
"1288","","2","540"
"1289","","6","743"
"1290","","6","735"
"1291","","1","946"
"1292","","8","647"
"1293","","7","819"
"1294","","4","864"
"1295","","4","697"
"1296","","5","700"
"1297","","4","549"
"1298","","3","1003"
"1299","","8","917"
"1300","","3","981"
"1301","","7","525"
"1302","","7","1038"
"1303","","4","1009"
"1304","","4","847"
"1305","","4","536"
"1306","","3","991"
"1307","","3","886"
"1308","","3","1023"
"1309","","2","516"
"1310","","8","693"
"1311","","8","555"
"1312","","6","688"
"1313","","8","673"
"1314","","3","815"
"1315","","2","882"
"1316","","7","913"
"1317","","1","509"
"1318","","8","679"
"1319","","6","897"
"1320","","4","958"
"1321","","3","828"
"1322","","4","1019"
"1323","","1","915"
"1324","","2","535"
"1325","","7","946"
"1326","","8","856"
"1327","","6","1021"
"1328","","1","890"
"1329","","7","615"
"1330","","4","845"
"1331","","7","698"
"1332","","5","982"
"1333","","6","1033"
"1334","","4","546"
"1335","","7","502"
"1336","","8","553"
"1337","","1","976"
"1338","","8","987"
"1339","","3","736"
"1340","","1","984"
"1341","","7","947"
"1342","","1","867"
"1343","","3","858"
"1344","","5","915"
"1345","","7","532"
"1346","","3","728"
"1347","","4","705"
"1348","","2","945"
"1349","","8","518"
"1350","","7","762"
"1351","","8","1027"
"1352","","3","968"
"1353","","7","509"
"1354","","6","553"
"1355","","8","568"
"1356","","2","633"
"1357","","7","904"
"1358","","7","559"
"1359","","6","765"
"1360","","7","844"
"1361","","5","893"
"1362","","8","854"
"1363","","6","796"
"1364","","4","677"
"1365","","2","890"
"1366","","2","507"
"1367","","6","962"
"1368","","4","1048"
"1369","","1","532"
"1370","","7","946"
"1371","","5","678"
"1372","","4","542"
"1373","","1","826"
"1374","","3","836"
"1375","","3","957"
"1376","","2","763"
"1377","","5","599"
"1378","","6","849"
"1379","","7","987"
"1380","","3","904"
"1381","","3","941"
